id	content	date_writing	title	user_name	avatar_src
1	https://www.youtube.com/embed/CevxZvSJLk8	2020-06-19	Roar - Katy Perry	thao	https://c-sf.smule.com/rs-s80/arr/a3/8e/ca1bee00-6d2e-4ac8-9403-dc7eae19dd49.jpg
2	https://www.youtube.com/embed/2S24-y0Ij3Y	2020-06-19	Kill This Love - Black Pink	thao	https://c-sf.smule.com/s-sf-bck2/arr/f7/fb/46650c41-f745-4300-99d5-790aaef22bbf.jpg
3	https://www.youtube.com/embed/vLbfv-AAyvQ	2020-06-19	Come Back Home - 2NE1	thao	https://c-sf.smule.com/sf/s29/arr/1d/7a/31ff9262-1915-4750-89ad-c838d97784fd.jpg
4	https://www.youtube.com/embed/3tmd-ClpJxA	2020-06-19	Look What You Made Me Do - Taylor Swift	thao	https://upload.wikimedia.org/wikipedia/vi/f/fd/LWYMMD_Official_single_cover.jpg
5	https://www.youtube.com/embed/3tmd-ClpJxA	2020-06-19	How to stay "ding ding"	thao	https://icons.iconarchive.com/icons/pixelresort/itunes-10/256/Square-Purple-Haze-icon.png
6	https://www.youtube.com/embed/3tmd-ClpJxA	2020-06-19	How to stay "go go"	thao	https://icons.iconarchive.com/icons/pixelresort/itunes-10/256/Square-Purple-Haze-icon.png
7	https://www.youtube.com/embed/3tmd-ClpJxA	2020-06-19	How to stay "roar roar"	thao	https://icons.iconarchive.com/icons/pixelresort/itunes-10/256/Square-Purple-Haze-icon.png
8	https://www.youtube.com/embed/3tmd-ClpJxA	2020-06-19	How to stay "poo poo"	thao	https://icons.iconarchive.com/icons/pixelresort/itunes-10/256/Square-Purple-Haze-icon.png
9	https://www.youtube.com/embed/3tmd-ClpJxA	2020-06-19	How to stay "ding ding"	thao	https://icons.iconarchive.com/icons/pixelresort/itunes-10/256/Square-Purple-Haze-icon.png
10	https://www.youtube.com/embed/3tmd-ClpJxA	2020-06-19	How to stay "ding ding"	NULL	https://c-sf.smule.com/rs-s80/arr/a3/8e/ca1bee00-6d2e-4ac8-9403-dc7eae19dd49.jpg
